楼盘名称,地址,单价,面积,数据来源
新康璞山,菩提大道185号,8000.0,,贝壳
碧桂园翡翠郡,一环东路碧桂园翡翠郡,6400.0,,贝壳
恒大湖山半岛,湖寿西路恒大湖山半岛,5000.0,,贝壳
融创瀚林学府,中航体育公园云湾路,14000.0,,贝壳
恒大绿岛新城,东林大道67号,8000.0,,贝壳
金茂国际生态新城,公园西路与同茂大道交汇处（中央公园）,11500.0,,贝壳
恒通津都海岸,滨江路东段435号,6300.0,,贝壳
海成南滨上院,南滨大道海成南滨上院,7600.0,,贝壳
长寿古镇,桃园西四路长寿古镇,15000.0,,贝壳
重庆时代中心,重庆市江北区建新北路一支路46号,20000.0,,贝壳
新城琅翠,海尔路1136号,16000.0,,贝壳
中梁和苑,李家沱正街·花溪医院对面,10500.0,,贝壳
蓝光未来城,观湖路88号,13500.0,,贝壳
康田栖樾,大渡口建桥大道铂桥路63号,13500.0,,贝壳
中建南宸玖樾,渝南大道305号附19号,12500.0,,贝壳
融创金弈时代,李家沱正街都和广场旁,10400.0,,贝壳
万云府,学城大道万云府,20000.0,,贝壳
金隅南山郡御澜院,南山中央湿地公园旁,23000.0,,贝壳
蓝光雍锦湾,团结路蓝光雍锦湾,7300.0,,贝壳
奥园公园壹号,南太路奥园公园壹号,5100.0,,贝壳
荣盛城,金中大道与新郭伏路交汇处,10000.0,,贝壳
重庆绿岛中心,双星大道52号,12000.0,,贝壳
金瓯滨江国际,诗城西路138号,6000.0,,贝壳
金科长江星辰,中山西路18号,8600.0,,贝壳
悦溪正荣府,两江新区竹溪河畔,12500.0,,贝壳
中骏弘阳樾景台,歇马新城碚青路曹家坝公交站旁,10500.0,,贝壳
旭辉金科空港,空港大道莲花轻轨站旁,15000.0,,贝壳
恒大新城,龙洲湾渝南大道,20000.0,,贝壳
金科美的原上,渝北区中央公园数据谷八中旁（秋成大道北段）,22000.0,,贝壳
长商悦湖荟,龙湖大道11号,5200.0,,贝壳
泊云府,渝南大道672号,12600.0,,贝壳
荣盛锦绣南山,龙洲湾商圈（海洋公园旁）,18000.0,,贝壳
菩提印象,长寿区长寿古镇桃源西3路568号,7000.0,,贝壳
橙珲随园,滨河大道橙珲随园,9000.0,,贝壳
公园大道,中央公园公园大道,22000.0,,贝壳
佳兆业篆山熙园,107省道佳兆业篆山熙园,15000.0,,贝壳
璞缇1号二期,桃源西四路7号,6500.0,,贝壳
蓝光雍锦府,兴龙大道896号,5600.0,,贝壳
东亚白云湖,青杠镇白云大道278-376号,7800.0,,贝壳
合能枫丹玖悦,渝南大道轻轨岔路口站旁,14000.0,,贝壳
山晓,南山崇文路214号，加勒比海旁品质楼盘,18000.0,,贝壳
万科未来星光,金兴大道（云图中心旁）,20000.0,,贝壳
龙湖紫云赋,水土中生活区（西大附中旁）,20000.0,,贝壳
金科中梁天悦府,飞龙路388号,15000.0,,贝壳
合谊理想城,巴滨路（建新公交站旁）,11000.0,,贝壳
奥贝学府一号,双福新区育才中学正大门口,8400.0,,贝壳
云山长麓,重庆市北碚区云开路云山长麓售楼部,11000.0,,贝壳
绿城上岛,璧青路689号,5800.0,,贝壳
佳兆业滨江新城,钢城大道佳兆业滨江新城,5500.0,,贝壳
金辉中央铭著,中央公园正南,16000.0,,贝壳
凯德九章,余溪北路2号,25000.0,,贝壳
云山晓,明晨大道云山晓,20000.0,,贝壳
中国铁建香漫溪岸,沿河东路北段184号,8000.0,,贝壳
